reservoir,date,area_m2
Pepacton,1989-06-15,17825400
Pepacton,1989-07-15,17786700
Pepacton,1989-08-15,20154600
Pepacton,1989-09-15,20030400
Pepacton,1989-10-15,19686600
Pepacton,1989-11-15,19841400
Pepacton,1990-06-15,20337300
Pepacton,1990-07-15,19599300
Pepacton,1990-08-15,19533600
Pepacton,1990-09-15,19533600
Pepacton,1990-10-15,20551500
Pepacton,1990-11-15,21444300
Pepacton,1991-02-15,21448800
Pepacton,1991-03-15,21448800
Pepacton,1991-04-15,21159000
Pepacton,1991-05-15,21169800
Pepacton,1991-06-15,20490300
Pepacton,1991-07-15,18846000
Pepacton,1991-08-15,18840600
Pepacton,1991-09-15,19085400
Pepacton,1991-10-15,18198900
Pepacton,1991-11-15,18198900
Pepacton,1992-05-15,13909500
Pepacton,1992-06-15,9413100
Pepacton,1992-07-15,9413100
Pepacton,1992-08-15,9414900
Pepacton,1992-09-15,17989200
Pepacton,1993-03-15,21487500
Pepacton,1993-04-15,21488400
Pepacton,1993-05-15,21265200
Pepacton,1993-06-15,19330200
Pepacton,1993-07-15,18977400
Pepacton,1993-08-15,18846000
Pepacton,1993-09-15,18840600
Pepacton,1993-10-15,19294200
Pepacton,1993-11-15,21591000
Pepacton,1994-05-15,21186900
Pepacton,1994-06-15,19599300
Pepacton,1994-07-15,19600200
Pepacton,1994-08-15,19764000
Pepacton,1994-09-15,19624500
Pepacton,1994-10-15,19628100
Pepacton,1994-11-15,20025900
Pepacton,1995-01-15,20029500
Pepacton,1995-03-15,20032200
Pepacton,1995-04-15,20028600
Pepacton,1995-05-15,20110500
Pepacton,1995-06-15,19121400
Pepacton,1995-07-15,18666900
Pepacton,1995-08-15,18657000
Pepacton,1995-09-15,18658800
Pepacton,1995-10-15,18837900
Pepacton,1996-03-15,21921300
Pepacton,1996-04-15,21941100
Pepacton,1996-05-15,21938400
Pepacton,1996-06-15,20160900
Pepacton,1996-07-15,20191500
Pepacton,1996-08-15,19549800
Pepacton,1996-09-15,20489400
Pepacton,1996-10-15,21352500
Pepacton,1996-11-15,21549600
Pepacton,1997-04-15,21560400
Pepacton,1997-05-15,21554100
Pepacton,1997-06-15,20193300
Pepacton,1997-07-15,19835100
Pepacton,1997-08-15,19831500
Pepacton,1997-09-15,18167400
Pepacton,1997-10-15,18450900
Pepacton,1997-12-15,21558600
Pepacton,1998-03-15,21558600
Pepacton,1998-04-15,21550500
Pepacton,1998-05-15,20547900
Pepacton,1998-06-15,20544300
Pepacton,1998-07-15,20284200
Pepacton,1998-08-15,20196900
Pepacton,1998-09-15,19900800
Pepacton,1998-10-15,19586700
Pepacton,1998-11-15,20796300
Pepacton,1998-12-15,20799900
Pepacton,1999-01-15,20803500
Pepacton,1999-02-15,20807100
Pepacton,1999-03-15,20807100
Pepacton,1999-04-15,20782800
Pepacton,1999-05-15,20657700
Pepacton,1999-06-15,20106900
Pepacton,1999-07-15,19392300
Pepacton,1999-08-15,19390500
Pepacton,1999-09-15,19359900
Pepacton,1999-10-15,19390500
Pepacton,1999-11-15,20996100
Pepacton,2000-03-15,21005100
Pepacton,2000-04-15,21002400
Pepacton,2000-05-15,21169800
Pepacton,2000-06-15,20181600
Pepacton,2000-07-15,20316600
Pepacton,2000-08-15,20334600
Pepacton,2000-09-15,20518200
Pepacton,2000-10-15,21444300
Pepacton,2000-11-15,21456900
Pepacton,2001-03-15,21469500
Pepacton,2001-04-15,21469500
Pepacton,2001-05-15,21091500
Pepacton,2001-06-15,20153700
Pepacton,2001-07-15,20159100
Pepacton,2001-08-15,18937800
Pepacton,2001-09-15,18385200
Pepacton,2001-10-15,18384300
Pepacton,2001-11-15,18382500
Pepacton,2001-12-15,18378900
Pepacton,2002-03-15,17819100
Pepacton,2002-04-15,17785800
Pepacton,2002-05-15,18164700
Pepacton,2002-06-15,19780200
Pepacton,2002-07-15,19524600
Pepacton,2002-08-15,19153800
Pepacton,2002-09-15,18112500
Pepacton,2002-10-15,17743500
Pepacton,2002-11-15,21702600
Pepacton,2003-04-15,21705300
Pepacton,2003-05-15,20044800
Pepacton,2003-06-15,20160900
Pepacton,2003-07-15,20160900
Pepacton,2003-08-15,20161800
Pepacton,2003-09-15,20618100
Pepacton,2003-10-15,21348000
Pepacton,2003-11-15,21702600
Pepacton,2004-03-15,21715200
Pepacton,2004-04-15,21464100
Pepacton,2004-05-15,21170700
Pepacton,2004-06-15,19863900
Pepacton,2004-07-15,20180700
Pepacton,2004-08-15,20288700
Pepacton,2004-09-15,21194100
Pepacton,2004-10-15,21224700
Pepacton,2004-11-15,21714300
Pepacton,2004-12-15,21717900
